sample_id,model,setting,question_id,image_path,level,class_name,answer_type,question,gold,raw_prediction,parser_prediction,auto_correct,auto_error_type,parser_ok,corrected_prediction,notes
parser_v04_001,Qwen2.5-VL-7B,full_image,coco_168890_coco_168890_car_1_l4_car_2_color_silver_no,images/coco_000000168890.jpg,L4,car,yes_no,Is the middle car silver?,no,yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_002,Qwen2.5-VL-7B,full_image,coco_172330_coco_172330_car_1_l4_car_1_color_black_no,images/coco_000000172330.jpg,L4,car,yes_no,Is the leftmost car black?,no,yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_003,Qwen2.5-VL-7B,dim_non_target,gqa_2406646_gqa_2406646_umbrella_1_l1_umbrella_2_color,images/gqa_2406646.jpg,L1,umbrella,attribute,What color is the middle umbrella?,pink,Blue,blue,FALSE,adjacent_misbinding,yes,,
parser_v04_004,Qwen2.5-VL-7B,full_image,manual_20260713_0071_manual_20260713_0071_cup_1_l3_cup_1_right_cup_2,images/manual_20260713_0071.jpg,L3,cup,attribute,What color is the cup immediately to the right of the gray cup?,green,Pink,pink,FALSE,adjacent_misbinding,yes,,
parser_v04_005,Qwen2.5-VL-7B,dim_non_target,manual_0076_manual_0076_bag_1_l1_bag_2_color,images/manual_0076.png,L1,bag,attribute,What color is the middle bag?,black,Red,red,FALSE,adjacent_misbinding,yes,,
parser_v04_006,Qwen2.5-VL-7B,box_guided,manual_0095_manual_0095_car_1_l3_car_3_right_car_4,images/manual_0095.png,L3,car,attribute,What color is the car immediately to the right of the green car?,black,Green,green,FALSE,adjacent_misbinding,yes,,
parser_v04_007,Qwen2.5-VL-7B,context_crop,coco_197462_coco_197462_car_1_l3_car_2_left_car_1,images/coco_000000197462.jpg,L3,car,attribute,What color is the car immediately to the left of the white car?,red,White,white,FALSE,adjacent_misbinding,yes,,
parser_v04_008,Qwen2.5-VL-7B,full_image,coco_362368_coco_362368_person_1_l4_person_2_upper_clothing_color_green_no,images/coco_000000362368.jpg,L4,person,yes_no,Is the upper clothing of the middle person green?,no,Yes,yes,FALSE,adjacent_misbinding,yes,,
parser_v04_009,Qwen2.5-VL-7B,box_guided,manual_0044_manual_0044_bag_1_l1_bag_3_color,images/manual_0044.jpg,L1,bag,attribute,What color is the third from left bag?,blue,Yellow,yellow,FALSE,adjacent_misbinding,yes,,
parser_v04_010,Qwen2.5-VL-7B,full_image,gqa_2353013_gqa_2353013_car_1_l2_car_1_color_brown,images/gqa_2353013.jpg,L2,car,position,"Where is the brown car?
A. leftmost
B. middle
C. rightmost",leftmost,B. middle,middle,FALSE,adjacent_misbinding,yes,,
